SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
1059,4,1,1,3,2,"(1,2]"
414,4,1,1,NA,3,"(1,2]"
1274,2,1,2,2,1,"(1,2]"
434,1,1,1,3,1,"(1,2]"
1578,1,1,3,2,1,"(1,2]"
923,2,1,1,4,2,"(1,2]"
1125,2,3,4,4,1,"(1,2]"
1902,2,3,2,4,1,"(1,2]"
2505,5,1,1,2,1,"(1,2]"
614,4,1,1,4,1,"(1,2]"
1037,5,1,1,1,2,"(1,2]"
229,4,4,1,2,1,"(1,2]"
873,2,1,3,2,1,"(1,2]"
970,2,3,2,2,1,"(1,2]"
110,4,2,1,1,3,"(1,2]"
1690,2,1,2,2,1,"(1,2]"
1049,4,2,3,3,1,"(1,2]"
1632,4,2,2,4,2,"(1,2]"
343,2,2,3,4,1,"(1,2]"
738,2,2,2,1,3,"(1,2]"
1790,4,3,2,NA,2,"(1,2]"
154,1,2,2,3,3,"(1,2]"
1712,1,1,1,2,2,"(1,2]"
981,4,2,1,4,3,"(1,2]"
415,2,2,3,3,2,"(1,2]"
310,2,1,1,1,1,"(1,2]"
1772,2,1,1,4,2,"(1,2]"
1791,2,2,2,3,2,"(1,2]"
2152,4,1,1,2,1,"(1,2]"
1103,4,1,1,2,1,"(1,2]"
520,4,-98,2,3,3,"(1,2]"
47,2,1,1,2,1,"(1,2]"
245,4,2,2,3,1,"(1,2]"
132,2,1,3,4,1,"(1,2]"
802,4,1,1,2,1,"(1,2]"
1021,2,1,2,4,3,"(1,2]"
1243,2,2,2,2,2,"(1,2]"
1299,5,3,3,4,2,"(1,2]"
354,2,1,2,4,1,"(1,2]"
973,2,2,3,4,3,"(1,2]"
1015,2,2,2,4,3,"(1,2]"
1870,2,1,2,1,2,"(1,2]"
392,4,1,1,4,1,"(1,2]"
1701,2,2,2,2,1,"(1,2]"
1246,1,2,2,2,2,"(1,2]"
1776,5,1,1,2,1,"(1,2]"
2111,2,1,1,1,1,"(1,2]"
580,4,3,2,2,1,"(1,2]"
2383,4,1,3,4,1,"(1,2]"
299,5,1,2,4,3,"(1,2]"
135,3,1,2,2,3,"(1,2]"
839,2,2,3,4,3,"(1,2]"
1762,2,2,2,4,2,"(1,2]"
666,2,2,2,3,3,"(1,2]"
1814,4,2,1,2,3,"(1,2]"
585,4,2,3,3,3,"(1,2]"
620,2,2,4,3,1,"(1,2]"
2101,2,2,1,1,3,"(1,2]"
2038,1,3,1,2,1,"(1,2]"
734,4,1,3,2,2,"(1,2]"
1318,2,1,1,4,2,"(1,2]"
813,4,1,2,4,3,"(1,2]"
1388,2,1,1,1,1,"(1,2]"
579,4,3,1,3,2,"(1,2]"
484,4,2,3,4,1,"(1,2]"
39,2,2,2,3,1,"(1,2]"
914,4,2,3,4,3,"(1,2]"
2066,2,1,1,2,1,"(1,2]"
60,2,1,1,2,1,"(1,2]"
1775,2,2,1,2,NA,"(1,2]"
1256,2,2,2,1,3,"(1,2]"
549,2,2,1,2,1,"(1,2]"
601,4,1,1,2,3,"(1,2]"
1005,2,1,1,2,3,"(1,2]"
950,1,1,1,4,NA,"(1,2]"
230,4,2,2,4,1,"(1,2]"
685,4,1,1,4,1,"(1,2]"
92,2,2,1,2,1,"(1,2]"
81,2,1,1,3,3,"(1,2]"
1486,4,1,1,1,2,"(1,2]"
860,2,1,3,NA,3,"(1,2]"
2043,2,2,2,4,3,"(1,2]"
1754,4,1,2,2,1,"(1,2]"
312,2,1,2,2,1,"(1,2]"
1975,4,3,2,2,3,"(1,2]"
1129,1,1,2,4,1,"(1,2]"
1428,1,1,2,1,1,"(1,2]"
342,2,2,1,1,1,"(1,2]"
371,4,2,2,2,3,"(1,2]"
2110,2,1,1,2,1,"(1,2]"
899,4,2,1,2,1,"(1,2]"
223,2,2,3,3,3,"(1,2]"
